통계표,업종코드,BSI코드,단위,변환,2008/01,2008/02,2008/03,2008/04,2008/05,2008/06,2008/07,2008/08,2008/09,2008/10,2008/11,2008/12,2009/01,2009/02,2009/03,2009/04,2009/05,2009/06,2009/07,2009/08,2009/09,2009/10,2009/11,2009/12,2010/01,2010/02,2010/03,2010/04,2010/05,2010/06,2010/07,2010/08,2010/09,2010/10,2010/11,2010/12,2011/01,2011/02,2011/03,2011/04,2011/05,2011/06,2011/07,2011/08,2011/09,2011/10,2011/11,2011/12,2012/01,2012/02,2012/03,2012/04,2012/05,2012/06,2012/07,2012/08,2012/09,2012/10,2012/11,2012/12,2013/01,2013/02,2013/03,2013/04,2013/05,2013/06,2013/07,2013/08,2013/09,2013/10,2013/11,2013/12,2014/01,2014/02,2014/03,2014/04,2014/05,2014/06,2014/07,2014/08,2014/09,2014/10,2014/11,2014/12,2015/01,2015/02,2015/03,2015/04,2015/05,2015/06,2015/07,2015/08,2015/09,2015/10,2015/11,2015/12,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12
"6.1.1.1. 기업경기조사(실적)","  제 조 업","기업심리지수실적","","원자료","107.4","106.2","108.1","110.0","106.9","103.4","103.1","99.0","94.3","86.6","72.3","58.0","62.8","62.2","73.7","85.6","92.0","95.3","99.6","102.6","108.9","110.5","109.3","108.9","114.1","114.2","117.7","120.6","122.3","121.8","119.5","117.1","111.7","111.5","112.3","112.6","112.4","111.2","114.4","118.0","113.2","111.7","110.1","104.1","105.6","104.5","104.3","100.7","98.9","102.2","104.3","106.1","103.6","103.3","95.6","94.5","91.7","92.3","91.0","91.0","92.6","96.7","97.8","100.7","102.8","103.0","98.3","96.0","98.6","100.6","101.6","98.3","99.1","101.1","102.2","104.2","103.3","99.4","98.1","97.2","97.5","96.3","97.9","99.0","101.9","101.6","103.1","104.5","97.2","89.9","94.7","92.7","92.6","95.7","95.4","93.4","92.2","88.9","93.2","97.2","96.1","97.3","97.2","96.9","94.7","96.0","99.1","99.0","99.3","99.4","104.1","103.8","103.8","101.0","99.8","100.6","103.8","102.3","103.1","103.1","98.8","95.8","94.0","97.6","99.0","102.3","97.5","96.9","95.3","94.5","96.5","93.3","93.8","93.0","94.8","96.5","98.2","97.6","93.9","91.8","93.1","92.1","95.1","94.3","94.5","90.7","79.4","71.4","66.6","71.6","78.8","83.7","87.9","97.6","100.5","101.2","104.9","105.1","109.1","119.2","118.8","119.6","116.8","115.3","110.3","109.4","111.6","113.0","111.3","112.1","107.6","108.6","110.1","106.3","101.0","102.1","96.5","94.1","93.5","91.4","87.9","86.2","87.3","90.7","93.2","93.9","92.5","89.6","87.9","90.5","91.0","92.4"
"6.1.1.1. 기업경기조사(실적)","  제 조 업","업황실적BSI 1)","","원자료","85","83","85","89","87","79","78","76","73","67","54","45","47","43","56","67","73","76","80","84","90","90","88","89","93","92","96","101","102","102","100","96","93","95","94","95","93","89","95","99","96","93","92","84","84","85","85","82","80","82","84","86","83","82","71","72","69","68","67","68","70","71","75","79","80","79","72","73","75","81","78","76","76","78","81","82","79","77","74","72","74","72","75","73","73","74","77","80","73","66","70","68","68","71","68","67","65","63","68","71","71","71","72","71","71","71","72","72","75","76","79","83","82","78","78","78","83","81","83","81","77","75","74","77","78","80","74","73","73","71","73","71","67","69","73","75","76","75","73","68","71","72","74","74","76","65","56","52","49","51","59","66","68","79","85","82","85","82","89","96","96","98","97","95","90","90","90","95","90","91","84","87","86","83","80","80","74","72","74","71","66","63","70","70","73","73","72","67","68","69","70","70"
"6.1.1.1. 기업경기조사(실적)","  제 조 업","매출실적BSI 2)","","원자료","104","101","108","115","111","109","108","103","96","93","76","58","54","53","62","74","80","83","84","90","98","101","100","101","107","107","111","118","116","114","115","112","106","109","109","107","106","104","109","114","110","108","104","97","98","97","97","95","88","93","94","95","96","94","88","87","81","82","79","78","80","82","83","87","91","92","86","86","86","87","88","86","88","88","89","93","90","86","84","82","81","84","86","87","88","88","89","93","83","76","77","79","78","81","78","77","77","74","81","83","80","81","83","81","79","79","84","85","86","87","90","93","89","87","88","87","89","88","88","89","86","83","78","82","86","88","83","82","81","79","82","81","81","80","81","84","83","83","78","79","77","78","80","81","80","71","61","58","48","53","63","66","66","78","83","81","90","91","97","113","115","115","114","113","104","103","105","107","106","102","103","106","105","98","98","98","95","89","90","85","78","73","76","78","78","79","76","74","74","77","77","76"
"6.1.1.1. 기업경기조사(실적)","  제 조 업","자금사정실적BSI 6)","","원자료","88","86","84","83","84","82","81","80","77","70","65","61","67","68","73","82","85","86","90","89","92","92","92","92","93","90","92","94","93","96","94","95","91","90","91","92","88","88","89","90","90","90","90","87","86","86","89","86","86","88","89","91","89","89","84","81","82","82","83","81","81","83","85","86","89","90","87","86","87","86","87","87","87","87","87","88","89","87","86","86","86","84","87","87","88","87","89","88","87","80","85","84","83","85","84","84","83","82","83","83","84","86","86","86","84","84","86","86","84","84","86","84","88","87","85","85","86","86","85","86","82","80","79","82","83","85","84","84","82","81","83","81","82","82","81","83","83","85","83","82","82","81","82","83","83","78","71","66","64","68","73","77","77","84","83","84","85","85","84","87","87","90","89","88","87","85","87","89","88","89","82","85","85","81","82","83","81","79","78","81","79","76","78","79","80","83","82","81","80","80","83","82"
"6.1.1.1. 기업경기조사(실적)","  제 조 업","인력사정실적BSI 3)","","원자료","93","94","92","92","92","92","92","93","97","98","104","112","112","111","107","105","102","99","97","95","93","91","92","94","92","90","89","88","86","88","87","88","89","88","90","92","92","91","88","88","88","89","90","92","91","93","95","94","95","95","93","93","94","94","92","94","93","94","95","96","97","96","94","91","89","93","96","95","94","96","97","97","96","95","94","93","94","94","95","95","95","94","94","95","98","97","96","96","95","98","97","96","95","97","97","97","98","99","97","96","99","98","97","97","96","95","98","96","95","95","95","94","95","94","95","97","93","94","94","95","96","98","97","98","91","91","91","90","91","92","94","96","95","97","95","94","95","94","95","96","96","96","95","98","99","97","99","104","109","108","98","99","98","94","95","93","91","92","88","86","86","85","85","85","85","85","82","83","84","82","83","83","80","81","83","83","84","84","88","89","92","88","89","92","91","91","93","92","93","88","87","88"
"6.1.1.1. 기업경기조사(실적)","  비제조업","기업심리지수실적","","원자료","111.3","111.1","107.4","110.8","105.7","100.9","96.9","100.9","97.9","82.3","78.4","77.3","76.3","77.8","81.2","98.9","101.2","106.8","105.6","106.0","106.5","113.8","109.6","120.3","112.4","114.5","113.6","116.7","118.4","117.0","118.8","107.6","108.6","112.3","111.4","113.9","109.3","104.0","107.3","110.5","110.9","113.7","109.7","106.1","107.3","109.7","102.7","103.7","102.2","99.0","109.0","108.0","107.8","103.3","91.4","89.3","91.3","88.3","87.4","90.2","92.9","89.9","93.8","92.0","90.2","91.5","91.4","90.0","92.9","89.9","91.2","92.1","93.2","93.1","92.0","96.8","95.3","91.9","91.3","94.3","97.5","91.9","92.6","95.3","98.6","95.1","96.9","102.7","106.2","90.6","99.1","95.6","96.2","102.1","96.9","96.1","94.1","91.6","95.4","96.5","96.2","97.8","98.0","98.0","99.1","98.0","100.6","103.8","100.0","97.6","103.6","103.3","102.6","101.4","104.8","100.1","103.2","101.5","104.2","107.2","103.8","102.7","103.4","103.9","107.9","105.5","101.4","98.5","97.9","98.8","96.2","95.8","92.5","90.8","96.4","94.3","91.2","95.0","93.5","92.3","93.7","95.0","96.7","98.3","96.7","83.3","63.8","62.0","68.7","75.2","83.6","84.6","78.7","89.0","91.9","84.6","88.7","94.0","99.9","105.4","106.9","109.7","104.9","106.1","103.9","106.8","109.3","107.8","108.2","104.2","105.4","111.0","111.8","108.0","103.2","106.5","104.6","101.3","97.9","97.7","90.7","94.4","94.8","93.5","99.5","99.6","98.3","96.1","98.6","91.2","89.3","89.2"
"6.1.1.1. 기업경기조사(실적)","  비제조업","업황실적BSI 1)","","원자료","83","82","78","82","78","74","73","71","73","62","57","56","57","59","60","71","75","78","77","78","80","86","82","89","86","87","85","88","89","87","88","81","83","85","87","86","83","79","80","85","84","84","83","78","80","80","77","80","77","76","79","79","80","75","67","66","66","67","65","68","68","65","68","68","67","69","67","67","70","69","70","70","69","69","69","71","69","66","67","69","70","67","67","69","69","68","70","76","76","65","69","70","70","74","70","70","68","64","68","70","71","71","70","73","73","72","73","74","74","73","76","78","79","75","79","75","79","76","79","81","80","79","79","80","84","80","76","74","76","76","74","73","71","70","73","74","71","74","72","70","72","74","75","78","73","64","53","50","56","60","65","66","62","69","73","68","70","72","77","82","81","81","79","81","79","84","83","82","83","81","81","85","86","82","80","82","81","79","76","76","71","73","74","74","78","77","76","75","77","71","69","70"
"6.1.1.1. 기업경기조사(실적)","  비제조업","매출실적BSI 2)","","원자료","100","97","98","103","99","101","97","96","92","86","82","81","71","70","74","82","85","87","84","84","87","93","90","98","95","96","95","99","100","96","101","95","94","94","94","95","93","88","88","93","94","97","91","88","90","93","88","86","88","85","90","90","90","89","80","81","81","76","77","78","77","77","77","79","76","76","78","77","78","76","79","77","77","78","76","80","79","76","78","79","80","78","77","79","80","81","78","82","84","71","80","77","79","81","80","77","76","76","77","80","76","80","80","80","82","81","84","87","84","84","87","89","85","86","86","85","87","85","89","90","88","89","86","85","87","87","83","82","81","81","83","81","79","76","78","78","76","75","76","76","75","77","80","80","79","69","53","52","56","60","64","66","61","69","69","67","70","74","80","86","89","92","88","88","88","90","93","91","91","88","89","95","98","95","93","95","95","91","90","89","81","81","83","84","86","84","84","83","84","76","77","77"
"6.1.1.1. 기업경기조사(실적)","  비제조업","자금사정실적BSI 6)","","원자료","91","90","86","88","85","83","80","85","81","70","69","68","72","73","75","86","86","90","90","91","89","91","90","96","90","91","92","91","93","94","94","87","88","91","88","91","89","87","89","90","88","90","89","89","88","90","86","86","86","84","90","89","88","88","81","78","79","78","79","79","83","81","81","81","79","81","82","79","81","78","80","80","82","83","82","85","84","82","81","83","86","83","83","83","88","84","86","88","91","84","87","85","85","88","84","84","84","81","85","84","84","85","86","85","85","85","85","87","84","82","87","85","85","84","86","84","86","86","86","89","85","84","86","86","88","87","86","85","83","83","81","82","79","80","82","81","79","83","82","81","81","82","82","83","84","78","66","66","68","71","78","79","75","80","82","77","81","83","84","86","87","89","87","87","86","86","88","88","89","86","87","89","89","87","84","86","84","82","80","81","79","82","82","79","82","84","84","82","82","81","79","79"
"6.1.1.1. 기업경기조사(실적)","  비제조업","인력사정실적BSI 3)","","원자료","94","93","93","92","91","90","93","94","93","96","97","99","100","97","97","96","96","94","95","95","95","94","95","94","93","94","91","91","92","91","92","93","89","90","91","93","93","91","90","90","90","88","90","90","90","89","90","90","91","92","89","89","89","90","83","83","84","84","87","89","89","90","86","85","86","88","85","87","88","86","85","85","88","88","87","88","89","89","89","86","86","87","88","90","91","89","87","87","87","86","89","87","90","86","88","86","89","88","87","87","87","86","86","87","89","88","88","90","88","85","88","86","83","86","86","86","85","88","86","87","88","88","87","87","82","81","84","83","84","83","84","85","83","82","83","84","82","86","83","84","83","83","84","86","84","82","84","82","83","84","84","84","84","85","88","87","82","84","86","85","85","85","83","84","83","83","84","83","84","84","83","80","83","80","78","78","80","79","80","80","81","81","78","80","81","83","84","82","83","80","79","79"
